id_referencia_some,id_element,client,element,property,pieza,datum
JOYSON_3118675_AB_1218395 CR," N7,1_∠XY",JOYSON," N7,1",∠XY,nan,nan
JOYSON_3127672_AB_11," N7,1_∠XY",JOYSON," N7,1",∠XY,nan,nan
BROSE_G51046_101_0, N38_PosiciónØ,BROSE, N38,PosiciónØ,0.0,Sistema global de coordenadas
JOYSON_3118675_AB_1222683, N38_Ø,JOYSON, N38,Ø,1222683.0,nan
BROSE_G51046_101_0, N15.6_PosiciónØ,BROSE, N15.6,PosiciónØ,0.0,Sistema global de coordenadas
BROSE_G51046_101_1226051CR, N5_Perfil de una línea,BROSE, N5,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_3118675_AB_214259CR, N23_Posición,JOYSON, N23,Posición,214259CR,Sistema global de coordenadas
BROSE_G51046_101_26051, N5_Perfil de una línea,BROSE, N5,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1219187ACAV2, N59.1_Posición,JOYSON, N59.1,Posición,1219187ACAV2,Sistema global de coordenadas
JOYSON_3127672_AB_1209761a, N38 CILINDRE_Ø,JOYSON, N38 CILINDRE,Ø,1209761a,nan
JOYSON_PTCOVER_3141954_AA_1219187ACAV2, N59.4_Posición,JOYSON, N59.4,Posición,1219187ACAV2,Sistema global de coordenadas
JOYSON_3127672_AB_120A, N38 CILINDRE_Ø,JOYSON, N38 CILINDRE,Ø,120A,nan
JOYSON_3127672_AB_1211578A, N38 CILINDRE_Ø,JOYSON, N38 CILINDRE,Ø,1211578A,nan
JOYSON_3130801_AC_1236726A, N19.1_∠YZ,JOYSON, N19.1,∠YZ,nan,SC ROTAT
JOYSON_3127672_AB_1215849, N38 CILINDRE_Ø,JOYSON, N38 CILINDRE,Ø,1215849.0,nan
JOYSON_3127672_AB_1232648, N38 CILINDRE_Ø,JOYSON, N38 CILINDRE,Ø,1232648.0,nan
JOYSON_3130801_AC_1242615A, N21_PosiciónØ,JOYSON, N21,PosiciónØ,1242615A,Sistema global de coordenadas
JOYSON_3127672_AB_21226869," N7,1_∠XY",JOYSON," N7,1",∠XY,nan,nan
JOYSON_3130801_AC_126365AA, N44_Perfil de una línea,JOYSON, N44,Perfil de una línea,nan,nan
JOYSON_3127672_AB_24837f, N39_Ø,JOYSON, N39,Ø,24837f,nan
JOYSON_3127672_AB_27111 FL, N36.6_Posición,JOYSON, N36.6,Posición,27111 FL,Sistema global de coordenadas
JOYSON_3130801_AC_126365AA, N21_PosiciónØ,JOYSON, N21,PosiciónØ,126365AA,Sistema global de coordenadas
JOYSON_3127672_AB_27111, N33.1_Posición,JOYSON, N33.1,Posición,27111.0,Sistema global de coordenadas
JOYSON_3127672_AB_29672, N36.2_Posición,JOYSON, N36.2,Posición,29672.0,Sistema global de coordenadas
JOYSON_3127672_AB_2, N36.3_Posición,JOYSON, N36.3,Posición,2.0,Sistema global de coordenadas
JOYSON_3127672_AB_2," N7,1_∠XY",JOYSON," N7,1",∠XY,nan,nan
JOYSON_3127672_AB_30037A, N36.5_Posición,JOYSON, N36.5,Posición,30037A,Sistema global de coordenadas
JOYSON_3127672_AB_30037A, N7.2_∠XY,JOYSON, N7.2,∠XY,nan,nan
