ENTRADA DADES FORMULARIS,
UBICACIÓ CARPETA PROJECTES EN CURS,\\server\some\Projectes en curs\AUTOLIV\649473500 - SWITCH RING ( ME )
TIPUS PROJECTE,NEW
DATA KOP,2022-07-18 00:00:00
DATA ENVIAMENT PSA,2022-07-15 00:00:00
RESPONSABLE COMERCIAL,David Bernal
RESPONSABLE DE PROJECTE,Marc Esteras
JERARQUIA,Friction Ring
Nº MATRIU SOME,AL-223880
Nº ASSET de CLIENT  (EN LA COMANDA),
Nº COMANDA CLIENT ,
PRESSUPOST MATRICER,22019 Rev.01
DATA ENTREGA PLANNING MATRIU,W29/22
DATA ENTREGA LAYOUT MATRIU,W31/22
DATA FOTs MATRICER,W49/22
DATA PROBA A SOME MATRICER (PPAP),W03/23
CONDICIONS PAGAMENT A MATRICER,30%-35%-25%-10%
INCOTERMS MATRIU,EXW
TOOL LIFETIME,10 anys
PREU FACTURACIÓ TOTAL A CLIENT,75850
CONDICIONS DE PAGAMENT DE CLIENT,30% PO -30% PPAP -40% PPAP approval
PLANTA/ES DESTÍ,ALH
CONDICIONS ENVIAMENT A CLIENT,FCA
LOT PRODUCCIÓ INFORMAT A CLIENT,100000
TIPUS DE PREMSA,125 Tn
PRESSUPOST Proveïdor Màquina,
DATA ENTREGA PLANNING Màquina,
DATA ENTREGA LAYOUT Màquina,
DATA FOTs,
DATA PROBA A SOME (PPAP),
CONDICIONS PAGAMENT A Proveïdor,
INCOTERMS,
REFERÈNCIA SOME 1,
REFERÈNCIA SOME 2,
INDEX REFERÈNCIA SOME 1,
INDEX REFERÈNCIA SOME 2,
COMPONENT COMPRA ,
COMPONENT 1,
MIDES (SI APLICA),
REF. SOME (SI APLICA),
LOT MÍNIM,
PLÀNOL (SI APLICA),
COMPONENT 2,
MIDES (SI APLICA),
REF. SOME (SI APLICA),
LOT MÍNIM,
PLÀNOL (SI APLICA),
COMPONENT 3,
MIDES (SI APLICA),
REF. SOME (SI APLICA),
LOT MÍNIM,
PLÀNOL (SI APLICA),
DATA PRIMERES MOSTRES  F.O.T A CLIENT,W02/23
QUANTITAT PECES F.O.T. A CLIENT,300
DATA ENTREGA PECES PPAP A CLIENT,W08/23
QUANTITAT PECES PPAP A CLIENT,1000
S.O.P. CLIENT,2025-01-08 00:00:00
E.O.P. CLIENT,2033-01-08 00:00:00
LOT ÒPTIM INFORMAT A CLIENT,100000
TEMPS ESTIMAT CANVI DE RULL,20'
PES ESTIMAT DE RULL,2000
RESPONSABLE PROJECTE - SOMEKSW,
RESPONSABLE QUALITAT - SOME SA,Frederic Gonzalez
RESPONSABLE QUALITAT - SOMEKSW,
RESPONSABLE DE PROCESSOS - SOME SA,Guillem Senmartí
RESPONSABLE DE PROCESSOS - SOMEKSW,
RESPONSABLE DE MATRICERIA - SOME SA,Marc Anglada
RESPONSABLE DE MATRICERIA - SOMEKSW,
RESPONSABLE PRODUCCIÓ SOME - SOME SA,Eva Bertran 
RESPONSABLE PRODUCCIÓ - SOMEKSW,
RESPONSABLE COMPRES CLIENT,Stefan Wengler
RESPONSABLE DISSENY CLIENT,I. Marku
RESPONSABLE QUALITAT CLIENT (SQA),
RESPONSABLE QUALITAT CLIENT (SDE),
FACTIBLITAT SIGNADA AMB CLIENT,YES
NORMES I ESTÀNDARDS UPDATED,YES
ESPECIFICACIONS PRODUCTE DISPONIBLES,YES
CONTRACT REVIEW (Si aplica),
Es necessàri un nou embalatge?,NO
PROCESSOS,
CT 2,
C.P.M.  /  TEMPS,"19.000 uni/h  - T.U. 0,0066"
CT 3,
C.P.M.  /  TEMPS,
CT 4,
C.P.M.  /  TEMPS,
CT 5,
C.P.M.  /  TEMPS,
CT 6,
C.P.M.  /  TEMPS,
