ENTRADA DADES FORMULARIS,
UBICACIÓ CARPETA PROJECTES EN CURS,\\Server\some\Projectes en curs\AUTOLIV\666429400_666429500 - BRACKET ( ET i IK )
TIPUS PROJECTE,NEW
FLOW CHART,FULL SOME KSW
DATA KOP,2024-04-11 00:00:00
DATA ENVIAMENT PSA,2024-03-26 00:00:00
RESPONSABLE COMERCIAL,David Bernal
RESPONSABLE DE PROJECTE,Enric Torner / Iwona Krol
JERARQUIA,Brackets
Nº MATRIU SOME,AL-244018
Nº ASSET de CLIENT  (EN LA COMANDA),A040724
Nº COMANDA CLIENT ,4201197407
PRESSUPOST MATRICER,20231128 SM RFQ for 44023 ( AUTOLIV PROJECT ) Updated on Dec 19
DATA ENTREGA PLANNING MATRIU,W12/24
DATA ENTREGA LAYOUT MATRIU,W14/24
DATA FOTs MATRICER,TBD
DATA PROBA A SOME MATRICER (PPAP),TBD
CONDICIONS PAGAMENT A MATRICER,Habituals
INCOTERMS MATRIU,DAP SOME
TOOL LIFETIME (Unitats),10000000
IMPORT COMANDA CLIENT,80700
CONDICIONS DE PAGAMENT DE CLIENT,30 % - 30 % - 40 %
PLANTA/ES DE DESTÍ,RRS
CONDICIONS ENVIAMENT A CLIENT,FCA Some Ksw
LOT PRODUCCIÓ INFORMAT A CLIENT,30000
TIPUS DE PREMSA,400 Tn
REFERÈNCIA SOME 1,
REFERÈNCIA SOME 2,
INDEX REFERÈNCIA SOME 1,
INDEX REFERÈNCIA SOME 2,
PRESSUPOST Proveïdor Màquina,
DATA ENTREGA PLANNING Màquina,
DATA ENTREGA LAYOUT Màquina,
DATA FOTs,
DATA PROBA A SOME (PPAP),
CONDICIONS PAGAMENT A Proveïdor,
INCOTERMS,
Nº ASSET de CLIENT  (EN LA COMANDA),
IMPORT COMANDA CLIENT,
CONDICIONS DE PAGAMENT DE CLIENT,
COMPONENTS ESTAMPACIÓ INTERNA,
COMPONENT 1,
FLOW CHART,
JERARQUIA,
Nº MATRIU SOME,
Nº ASSET de CLIENT  (EN LA COMANDA),
Nº COMANDA CLIENT ,
PRESSUPOST MATRICER,
DATA ENTREGA PLANNING MATRIU,
DATA ENTREGA LAYOUT MATRIU,
DATA FOTs MATRICER,
DATA PROBA A SOME MATRICER (PPAP),
CONDICIONS PAGAMENT A MATRICER,
INCOTERMS MATRIU,
TOOL LIFETIME (Unitats),
IMPORT COMANDA CLIENT,
CONDICIONS DE PAGAMENT DE CLIENT,
TIPUS DE PREMSA,
LOT PRODUCCIÓ INFORMAT A CLIENT,
REFERÈNCIA SOME 1,
REFERÈNCIA SOME 2,
INDEX REFERÈNCIA SOME 1,
INDEX REFERÈNCIA SOME 2,
COMPONENT 2,
FLOW CHART,
JERARQUIA,
Nº MATRIU SOME,
Nº ASSET de CLIENT  (EN LA COMANDA),
Nº COMANDA CLIENT ,
PRESSUPOST MATRICER,
DATA ENTREGA PLANNING MATRIU,
DATA ENTREGA LAYOUT MATRIU,
DATA FOTs MATRICER,
DATA PROBA A SOME MATRICER (PPAP),
CONDICIONS PAGAMENT A MATRICER,
INCOTERMS MATRIU,
TOOL LIFETIME (Unitats),
IMPORT COMANDA CLIENT,
CONDICIONS DE PAGAMENT DE CLIENT,
TIPUS DE PREMSA,
LOT PRODUCCIÓ INFORMAT A CLIENT,
REFERÈNCIA SOME 1,
REFERÈNCIA SOME 2,
INDEX REFERÈNCIA SOME 1,
INDEX REFERÈNCIA SOME 2,
COMPONENT 3,
FLOW CHART,
JERARQUIA,
Nº MATRIU SOME,
Nº ASSET de CLIENT  (EN LA COMANDA),
Nº COMANDA CLIENT ,
PRESSUPOST MATRICER,
DATA ENTREGA PLANNING MATRIU,
DATA ENTREGA LAYOUT MATRIU,
DATA FOTs MATRICER,
DATA PROBA A SOME MATRICER (PPAP),
CONDICIONS PAGAMENT A MATRICER,
INCOTERMS MATRIU,
TOOL LIFETIME (Unitats),
IMPORT COMANDA CLIENT,
CONDICIONS DE PAGAMENT DE CLIENT,
TIPUS DE PREMSA,
LOT PRODUCCIÓ INFORMAT A CLIENT,
REFERÈNCIA SOME 1,
REFERÈNCIA SOME 2,
INDEX REFERÈNCIA SOME 1,
INDEX REFERÈNCIA SOME 2,
COMPONENT 4,
FLOW CHART,
JERARQUIA,
Nº MATRIU SOME,
Nº ASSET de CLIENT  (EN LA COMANDA),
Nº COMANDA CLIENT ,
