ENTRADA DADES FORMULARIS,
UBICACIÓ CARPETA PROJECTES EN CURS,\\server\SOME\Projectes en curs\ZF\004938000151_004938000152 - SENSOR BRACKET LH+RH (...)
TIPUS PROJECTE,NEW
FLOW CHART,FULL SOME SA
DATA KOP,
DATA ENVIAMENT PSA,2024-07-26 00:00:00
RESPONSABLE COMERCIAL,Dietmar Enrich
RESPONSABLE DE PROJECTE,Marc Esteras
JERARQUIA,Anclatges
Nº MATRIU SOME,ZF-244030
Nº ASSET de CLIENT  (EN LA COMANDA),
Nº COMANDA CLIENT ,
PRESSUPOST MATRICER,#RFQ240726001
DATA ENTREGA PLANNING MATRIU,2024-07-29 00:00:00
DATA ENTREGA LAYOUT MATRIU,2024-08-01 00:00:00
DATA FOTs MATRICER,to agree with Tool Outsourcing Department
DATA PROBA A SOME MATRICER (PPAP),to agree with Tool Outsourcing Department
CONDICIONS PAGAMENT A MATRICER,tbd by Aitor
INCOTERMS MATRIU,EXW
TOOL LIFETIME (Unitats),2500000
IMPORT COMANDA CLIENT,57100
CONDICIONS DE PAGAMENT DE CLIENT,100% after PPAP approval
PLANTA/ES DE DESTÍ,ZF Germany
CONDICIONS ENVIAMENT A CLIENT,FCA + TTOP (Title Transfer Our Premises)
LOT PRODUCCIÓ INFORMAT A CLIENT,5000
TIPUS DE PREMSA,125 Tn
REFERÈNCIA SOME 1,
REFERÈNCIA SOME 2,
INDEX REFERÈNCIA SOME 1,
INDEX REFERÈNCIA SOME 2,
PRESSUPOST Proveïdor Màquina,
DATA ENTREGA PLANNING Màquina,
DATA ENTREGA LAYOUT Màquina,
DATA FOTs,
DATA PROBA A SOME (PPAP),
CONDICIONS PAGAMENT A Proveïdor,
INCOTERMS,
Nº ASSET de CLIENT  (EN LA COMANDA),
IMPORT COMANDA CLIENT,
CONDICIONS DE PAGAMENT DE CLIENT,
COMPONENTS ESTAMPACIÓ INTERNA,
COMPONENT 1,
FLOW CHART,
JERARQUIA,
Nº MATRIU SOME,
Nº ASSET de CLIENT  (EN LA COMANDA),
Nº COMANDA CLIENT ,
PRESSUPOST MATRICER,
DATA ENTREGA PLANNING MATRIU,
DATA ENTREGA LAYOUT MATRIU,
DATA FOTs MATRICER,
DATA PROBA A SOME MATRICER (PPAP),
CONDICIONS PAGAMENT A MATRICER,
INCOTERMS MATRIU,
TOOL LIFETIME (Unitats),
IMPORT COMANDA CLIENT,
CONDICIONS DE PAGAMENT DE CLIENT,
TIPUS DE PREMSA,
LOT PRODUCCIÓ INFORMAT A CLIENT,
REFERÈNCIA SOME 1,
REFERÈNCIA SOME 2,
INDEX REFERÈNCIA SOME 1,
INDEX REFERÈNCIA SOME 2,
COMPONENT 2,
FLOW CHART,
JERARQUIA,
Nº MATRIU SOME,
Nº ASSET de CLIENT  (EN LA COMANDA),
Nº COMANDA CLIENT ,
PRESSUPOST MATRICER,
DATA ENTREGA PLANNING MATRIU,
DATA ENTREGA LAYOUT MATRIU,
DATA FOTs MATRICER,
DATA PROBA A SOME MATRICER (PPAP),
CONDICIONS PAGAMENT A MATRICER,
INCOTERMS MATRIU,
TOOL LIFETIME (Unitats),
IMPORT COMANDA CLIENT,
CONDICIONS DE PAGAMENT DE CLIENT,
TIPUS DE PREMSA,
LOT PRODUCCIÓ INFORMAT A CLIENT,
REFERÈNCIA SOME 1,
REFERÈNCIA SOME 2,
INDEX REFERÈNCIA SOME 1,
INDEX REFERÈNCIA SOME 2,
COMPONENT 3,
FLOW CHART,
JERARQUIA,
Nº MATRIU SOME,
Nº ASSET de CLIENT  (EN LA COMANDA),
Nº COMANDA CLIENT ,
PRESSUPOST MATRICER,
DATA ENTREGA PLANNING MATRIU,
DATA ENTREGA LAYOUT MATRIU,
DATA FOTs MATRICER,
DATA PROBA A SOME MATRICER (PPAP),
CONDICIONS PAGAMENT A MATRICER,
INCOTERMS MATRIU,
TOOL LIFETIME (Unitats),
IMPORT COMANDA CLIENT,
CONDICIONS DE PAGAMENT DE CLIENT,
TIPUS DE PREMSA,
LOT PRODUCCIÓ INFORMAT A CLIENT,
REFERÈNCIA SOME 1,
REFERÈNCIA SOME 2,
INDEX REFERÈNCIA SOME 1,
INDEX REFERÈNCIA SOME 2,
COMPONENT 4,
FLOW CHART,
JERARQUIA,
Nº MATRIU SOME,
Nº ASSET de CLIENT  (EN LA COMANDA),
Nº COMANDA CLIENT ,
PRESSUPOST MATRICER,
DATA ENTREGA PLANNING MATRIU,
DATA ENTREGA LAYOUT MATRIU,
DATA FOTs MATRICER,
DATA PROBA A SOME MATRICER (PPAP),
CONDICIONS PAGAMENT A MATRICER,
INCOTERMS MATRIU,
TOOL LIFETIME (Unitats),
IMPORT COMANDA CLIENT,
CONDICIONS DE PAGAMENT DE CLIENT,
TIPUS DE PREMSA,
LOT PRODUCCIÓ INFORMAT A CLIENT,
REFERÈNCIA SOME 1,
REFERÈNCIA SOME 2,
INDEX REFERÈNCIA SOME 1,
INDEX REFERÈNCIA SOME 2,
COMPONENT 5,
FLOW CHART,
JERARQUIA,
Nº MATRIU SOME,
Nº ASSET de CLIENT  (EN LA COMANDA),
Nº COMANDA CLIENT ,
PRESSUPOST MATRICER,
DATA ENTREGA PLANNING MATRIU,
DATA ENTREGA LAYOUT MATRIU,
DATA FOTs MATRICER,
DATA PROBA A SOME MATRICER (PPAP),
CONDICIONS PAGAMENT A MATRICER,
INCOTERMS MATRIU,
TOOL LIFETIME (Unitats),
IMPORT COMANDA CLIENT,
CONDICIONS DE PAGAMENT DE CLIENT,
TIPUS DE PREMSA,
LOT PRODUCCIÓ INFORMAT A CLIENT,
REFERÈNCIA SOME 1,
REFERÈNCIA SOME 2,
INDEX REFERÈNCIA SOME 1,
INDEX REFERÈNCIA SOME 2,
COMPONENT COMPRA ,
COMPONENT 1,
MIDES (SI APLICA),
REF. SOME (SI APLICA),
LOT MÍNIM,
PLÀNOL (SI APLICA),
COMPONENT 2,
MIDES (SI APLICA),
REF. SOME (SI APLICA),
LOT MÍNIM,
PLÀNOL (SI APLICA),
COMPONENT 3,
MIDES (SI APLICA),
REF. SOME (SI APLICA),
LOT MÍNIM,
PLÀNOL (SI APLICA),
COMPONENT 4,
MIDES (SI APLICA),
REF. SOME (SI APLICA),
LOT MÍNIM,
PLÀNOL (SI APLICA),
DATA PRIMERES MOSTRES  F.O.T A CLIENT,CW 47 2024
QUANTITAT PECES F.O.T. A CLIENT,tbd
DATA ENTREGA PECES PPAP A CLIENT,CW11 2025
QUANTITAT PECES PPAP A CLIENT,tbd
S.O.P. CLIENT,2025-10-01 00:00:00
E.O.P. CLIENT,2031-10-01 00:00:00
M.O.Q - INFORMAT A CLIENT,4000
TEMPS ESTIMAT CANVI DE RULL,
PES ESTIMAT DE RULL,
RESPONSABLE PROJECTE - SOMEKSW,
RESPONSABLE QUALITAT - SOME SA,David Moreno
RESPONSABLE QUALITAT - SOMEKSW,
RESPONSABLE DE PROCESSOS - SOME SA,Guillem Senmartí
RESPONSABLE DE PROCESSOS - SOMEKSW,
RESPONSABLE DE MATRICERIA - SOME SA,Marc Anglada
RESPONSABLE DE MATRICERIA - SOMEKSW,
RESPONSABLE PRODUCCIÓ SOME - SOME SA,Anna Puig
RESPONSABLE PRODUCCIÓ - SOMEKSW,
RESPONSABLE COMPRES CLIENT,Dineshkumar
RESPONSABLE DISSENY CLIENT,Tobias Wahler
RESPONSABLE QUALITAT CLIENT (SQA),
RESPONSABLE QUALITAT CLIENT (SDE),
FACTIBLITAT INTERNA REALITZADA,YES
DRAWINGS RELEASED,NO
FACTIBLITAT SIGNADA AMB CLIENT,YES
NORMES I ESTÀNDARDS UPDATED,YES
ESPECIFICACIONS GENERALS DISPONIBLES,YES
ESPECIFICACIONS PRODUCTE DISPONIBLES,YES
CONTRACT REVIEW (Si aplica),
Es necessàri un nou embalatge?,
FACTIBLITAT INTERNA REALITZADA,
DRAWINGS RELEASED,
FACTIBLITAT SIGNADA AMB CLIENT,
NORMES I ESTÀNDARDS UPDATED,
ESPECIFICACIONS GENERALS DISPONIBLES,
ESPECIFICACIONS PRODUCTE DISPONIBLES,
CONTRACT REVIEW (Si aplica),
TEMPS ESTIMAT CANVI DE RULL,
