Dades necessàries per estructurar una Matriu,
1 - Nº Matriu:,ZF-244030
2 - SOP projecte,2025-10-01 00:00:00
3 - EOP projecte,2031-10-01 00:00:00
4 - Tool Lifetime,2500000
5 - Quantitat Anual:,75000
6 - Quantitat Total Projecte:,450000
7 - Referència/es peça:,4938000152  / 4938000151
8 - Cavitats:,2 ( LH + RH )
9 - Matricer:,DOP
10 - Data entrega matriu:,to agree with Tool Outsourcing Department
11 - Projecte:,C_SUBARU_CDC
12 - Jerarquía:,Anclatges
13 - Nº Expedient:,094/24
14 - Responsable Projecte:,Marc Esteras
Dades necessàries per estructurar una Matèria prima,
15 - Descripció material:,DC01 + C440
16 - Mides (BANDA x PAS x GRUIX):,"145  x  45  x  1,2"
17 - Proveïdor:,LAMINCER
18 - Preu actualitzat:,1.32
19 - Volum Anual:,75000
20 - Temps estimat Canvi de Rull:,0
21 - Pes estimat del Rull:,0
Dades necessàries per estructurar un Component / Material Aux.,
COMPONENT 1 COMPRA,
1 - Descripció material:,
2 - Mides:,
3 - Proveïdor:,
4 - Preu actualitzat:,
5 - Plànol si cal:,
6 - Volum Anual:,
7 - SOP:,2025-10-01 00:00:00
COMPONENT 2 COMPRA,
1 - Descripció material:,
2 - Mides:,
3 - Proveïdor:,
4 - Preu actualitzat:,
5 - Plànol si cal:,
6 - Volum Anual:,
7 - SOP:,2025-10-01 00:00:00
COMPONENT 3 COMPRA,
1 - Descripció material:,
2 - Mides:,
3 - Proveïdor:,
4 - Preu actualitzat:,
5 - Plànol si cal:,
6 - Volum Anual:,
7 - SOP:,2025-10-01 00:00:00
Dades necessàries per estructurar una peça / conjunt,
22 - Client:,ZF
23 - Tipus:  SQB / KSW / MIXTE:,FULL SOME SA
24 - Tipus Facturació: A / B / C:,C
25 - Categoria Peça (Bàscula):,B
26 - Descripció actualitzada:,SENSOR BRACKET  RH / LH
27 - Tractaments:,
* Descripció complerta del tractament 1:,Zn/Fe
* proveïdor SQB:,"Inelca (1,2 eur/kg)"
* preu SQB:,0.022896
* Descripció complerta del tractament 2:,0
* proveïdor SQB:,0
* preu SQB:,0
* Descripció complerta del tractament 3:,0
* proveïdor SQB:,0
* preu SQB:,0
28 - Embalatge:,
Es necessàri un nou embalatge?,
28.1 - EUROPA,
Caixa:,2263 - Caixa Cartó 385x285x150
Tapa / Altres:,0
Pallet:,855 - Palet Fusta EUR 1200x800
Peces / Caixa:,500
Caixes / Pallet:,8
28.2 - OVERSEAS,
Peces / Caixa:,0
Tapa / Altres:,0
29 - Pes Brut:,0.03073275
30 - Pes Net:,0.01908
31 - Ruta:,
* Centre Treball,CT- Premsa 125 Tn
* Descripció CT,Stamping
* cpm o (peces/hora) per CT,"50     / OEE:  33,40%"
* Centre Treball,CT- 9970
* Descripció CT,Checking 100 % + Packing
* cpm o (peces/hora) per CT,500
* Centre Treball,
* Descripció CT,
* cpm o (peces/hora) per CT,
* Centre Treball,
* Descripció CT,
* cpm o (peces/hora) per CT,
* Centre Treball,
* Descripció CT,
* cpm o (peces/hora) per CT,
32 - Co-producte ( si / no ),Co-Producte
33 - Cost Peça (Intern SOME),0.1412588655737472
17 - Preu Peça (Oferta a Client),0.3523
34 - Planta Producció Client,ZF Germany
PD. La resta d'informació que s'entra ja l'aconseguèix la persona que estructura.,
