Dades necessàries per estructurar una Matriu,
1 - Nº Matriu:,ZF-244020
2 - SOP projecte,2025-07-01 00:00:00
3 - EOP projecte,2034-12-31 00:00:00
4 - Tool Lifetime,5000000
5 - Volum Anual:,895040
6 - Volum total Projecte:,8055360
7 - Referència/es peça:,A027Y915 C / A027Y916 C
8 - Cavitats:,1
9 - Matricer:,GRIFELL / XINA
10 - Data entrega matriu:,2024-10-21 00:00:00
11 - Projecte:,2025 BMW NCAR
12 - Jerarquía:,Anclatges
13 - Nº Expedient:,272/23
14 - Responsable Projecte:,Marc Esteras
Dades necessàries per estructurar una Matèria prima,
1 - Descripció material:,C55
2 - Mides (BANDA x PAS x GRUIX):,174  x  93  x  3
3 - Proveïdor:,ARANIA
4 - Preu actualitzat:,1.61
5 - Volum Anual:,895040
6 - Temps estimat Canvi de Rull:,0
7 - Pes estimat del Rull:,0
Dades necessàries per estructurar un Component / Material Aux.,
COMPONENT ESTAMPACIÓ 1,
1 - Descripció:,
2 - Plànol:,
COMPONENT ESTAMPACIÓ 2,
1 - Descripció:,
2 - Plànol:,
COMPONENT 1 COMPRA,
1 - Descripció material:,"FUNDA VCI 2100 x 1400 Galga 400 Verd ( 1,89 €/u ) 2500 uni"
2 - Mides:,
3 - Proveïdor:,DAIFE
4 - Preu actualitzat:,0.000756
5 - Plànol si cal:,
6 - Volum Anual:,895040
7 - SOP:,2025-07-01 00:00:00
COMPONENT 2 COMPRA,
1 - Descripció material:,
2 - Mides:,
3 - Proveïdor:,
4 - Preu actualitzat:,
5 - Plànol si cal:,
6 - Volum Anual:,
7 - SOP:,2025-07-01 00:00:00
COMPONENT 3 COMPRA,
1 - Descripció material:,
2 - Mides:,
3 - Proveïdor:,
4 - Preu actualitzat:,
5 - Plànol si cal:,
6 - Volum Anual:,
7 - SOP:,2025-07-01 00:00:00
Dades necessàries per estructurar una peça / conjunt,
1 - Client:,ZF
2 - Tipus:  SQB / KSW / MIXTE:,FULL SOME SA
3 - Tipus Facturació: A / B / C:,A
4 - Categoria Peça (Bàscula):,B
5 - Quantiat Anual:,895040
6 - Descripció actualitzada:,Anchor Bracket LH / RH
7 - Referència client:,A027Y915 C / A027Y916 C
8 - Responsables tècnics i de qualitat:,Marc Esteras / Frederic Gonzalez
9 - Projecte:,2025 BMW NCAR
10 - Tractaments:,
* Descripció complerta del tractament 1:,Heat Treatment 46-52 HRC
* proveïdor SQB:,"Proterme (1,75 €/u)"
* preu SQB:,0.2457
* Descripció complerta del tractament 2:,KTL 15-30 micres
* proveïdor SQB:,CAYPI
* preu SQB:,0.089
* Descripció complerta del tractament 3:,0
* proveïdor SQB:,0
* preu SQB:,0
11 - Embalatge:,
Es necessàri un nou embalatge?,
11.1 - EUROPA,
Caixa:,900 - Caixa Plàstic B2 (390 x 300 x 120)
Tapa / Altres:,0
Pallet:,933 - Europalet TRW
Peces / Caixa:,50
Caixes / Pallet:,56
11.2 - OVERSEAS,
Peces / Caixa:,0
Tapa / Altres:,0
12 - Pes Brut:,0.3810861
13 - Pes Net:,0.1404
14 - Ruta:,
* Centre Treball,CT- varis
* Descripció CT,Stamping
* cpm o (peces/hora) per CT,"45     / OEE:  45,19%"
* Centre Treball,CT- 9390
* Descripció CT,Soft Deburring
* cpm o (peces/hora) per CT,1500
* Centre Treball,CT- 8046
* Descripció CT,Verficació EDDY + enllaçar ↓
* cpm o (peces/hora) per CT,400
* Centre Treball,CT- 9970
* Descripció CT,Verificar i Col·locar
* cpm o (peces/hora) per CT,400
* Centre Treball,
* Descripció CT,
* cpm o (peces/hora) per CT,
* Matriu,ZF-244020
* Cavitats,1
* Co-producte ( si / no ),Producte Únic
* Si hi ha subcontractació ( oferta ),
15 - Plànol actualitzat,A0055R2349A D
16 - Cost Peça (Intern SOME),1.146329815451172
17 - Preu Peça (Oferta a Client),1.698352
18 - Planta Producció Client,Czestochowa
PD. La resta d'informació que s'entra ja l'aconseguèix la persona que estructura.,
